DBA,ZIPCODE,Longitude_x,Latitude_x,VIOLATION CODE,Borough
"""U"" LIKE CHINESE TAKE OUT",10034.0,-73.921726346618,40.867494224968,"06C, 04M, 06F, 08A, 02G, 04N, 02B, 06A, 04H",MANHATTAN
"""W"" CAFE",10018.0,-73.984079971299,40.749800394372,"04N, 02G, 20-06, 10G, 04M, 08A",MANHATTAN
#1 GARDEN CHINESE RESTAURANT,11215.0,-73.980554819961,40.660155649478,"02B, 08A, 10F, 04N, 04L, 09B, 06F, 09C, 06B, 04M, 06A, 28-06, 02G, 09A",BROOKLYN
#1 SABOR LATINO RESTAURANT,10466.0,-73.8585911415,40.891175783734,"04L, 02B, 06F, 02H, 10F, 08A, 10B, 06D, 02G, 04H, 04M",BRONX
$1 PIZZA,10001.0,-73.990158293876,40.746510107881,"02B, 04N, 10B, 20-06, 04M, Missing, 02G, 02H, 06B, 04L, 06C, 10D, 06F, 04H, 10F, 08A, 04A, 05D",MANHATTAN
$1 SLICE PIZZA,10467.0,-73.882899618689,40.881253484956,"04L, 04N, 04H, 06C, 04K, 06A, 08C, 10F, 08A, 06F, 10B, 02B, 06D",BRONX
$1.50  UTICA HOT PIZZA,11213.0,-73.930655146279,40.668774135352,"04A, 05D, 04J, 10B, 02B, 06C, 06D, 08C, 04N, 06A, 10F, 04L, 08A",BROOKLYN
$1.50 FRESH PIZZA & HOT DOG,10009.0,-73.982992285603,40.72681284306,"10F, 04L, 06C, 04A, 02B, 08A, 06A, 08C, 10E, 04K, 28-06, 16-02, 28-03, 20-06, 02G",MANHATTAN
$1.50 HOT PIZZA,11233.0,-73.92923809585,40.67928302117,"06F, 10F, 06A",BROOKLYN
$1.50 PIZZA SLICE,10019.0,-73.988765921819,40.76371413372,"02G, 20-08, 04N, 10F, 10G, 06D, 06C, 02B, 20-01, 08A, 04L",MANHATTAN
& MORE BY SHERATON,11354.0,-73.831798170383,40.759839333092,"06F, 04M, 08C, 10F, 05D, 04H, 02B, 08A, 04N, 02G, 10B, 06D, 09C",QUEENS
& PIZZA,10001.0,-73.988382911821,40.74514305044,"10F, 10B, 06D, 18-11, 10H",MANHATTAN
& SON STEAKEASY,10011.0,-73.998585544932,40.733953229906,"04J, 04H, 06F, 06D, 06C, 28-04, 04C, 06G, 09E, 10F",MANHATTAN
& SONS HAM BAR,11225.0,-73.953629713001,40.66160264974,"03A, 06A, 10F",BROOKLYN
(LEWIS DRUG STORE) LOCANDA VINI E OLII,11238.0,-73.962926874641,40.684796653234,"04C, 10F, 09C, 02G, 08A, 06C, 04N",BROOKLYN
003RJRH CORP,10010.0,-73.986521768957,40.739944266445,Missing,MANHATTAN
08/2024,11104.0,-73.923416505935,40.747195864681,Missing,QUEENS
1 BANANA QUEEN,10452.0,-73.914536031114,40.844243962994,"08A, 04K, 10F, 04L, 09C",BRONX
1 EAST 66TH STREET KITCHEN,10065.0,-73.969580578452,40.768546914232,"04H, 10F, 06D",MANHATTAN
1 GOLDEN PANCAKE,11354.0,-73.830129371732,40.758862483838,"04J, 10F, 10E",QUEENS
1 HOTEL BROOKLYN BRIDGE,11201.0,-73.995892188698,40.700881454655,"10B, 10F, 04L, 08B, 08A, 06D, 04N",BROOKLYN
1 HOTEL EMPLOYEE DINING KITCHEN #36,11201.0,-73.995527884559,40.70157861295,"10F, 09C, 08A, 06D, 08B, 02B, 04A, 04N",BROOKLYN
1 QUETZAL,11228.0,-73.999315617304,40.618049600245,"10F, 04L, Missing, 06F, 10E, 08A, 15F6, 04H, 15E2",BROOKLYN
1 STOP PATTY SHOP,10031.0,-73.947878825434,40.824869602416,"10F, 04M, 28-05, 08A, 20-06, 10G, 10B, 08C, 04A",MANHATTAN
1 WAFFLE N SIP,11361.0,-73.765422670139,40.760845461367,"06C, 06D",QUEENS
1.5 DAK GALBI,11358.0,-73.807183836343,40.763448408622,"10E, 04L, 05D, 08A, 10F, 06C, 04N, 10B",QUEENS
1.50 HOT PIZZA,10455.0,-73.917983331884,40.815649022675,"08C, 10D, 10F, 08A, 02G, 06A, 02B, 04K, 06C, 04A, 16-02",BRONX
10 02 LOUNGE AND RESTAURANT,10460.0,-73.887617618406,40.843666351876,"08A, 04K, 04J, 04N, 28-06, 10F",BRONX
100 MARKET PLACE,10004.0,-74.011606197564,40.703504942078,"04H, 08A, 06C, 10F, 02A, 04N, 02G, 04L, 06E, 10B, 28-05",MANHATTAN
100% MR LIN,11201.0,-73.98345224546,40.690826232689,"02H, 10F, 06C",BROOKLYN
1001 NIGHTS CAFE,10314.0,-74.162521484316,40.598281573201,"04C, 05B, 10F, 06D",STATEN ISLAND
101 APizza,11419.0,-73.818187291542,40.692154455003,"10B, 02B",QUEENS
101 CAFE,11416.0,-73.843201099888,40.685063207207,"09B, 10B, 10F, 06C, 06D, 06F, 04M, 02H, 08A, 02G",QUEENS
101 DELI,11694.0,-73.821536740421,40.583655530006,"02G, 08B, 10D, 10F, 08C, 04J, 06C, 04N, 08A, 04H",QUEENS
101 KTV BAR LOUNGE,11354.0,-73.832346345915,40.762895056714,Missing,QUEENS
101 WILSON BAR,11237.0,-73.927119024631,40.701497896968,"10H, 04N, 06C, 06D, 08A, 04H, 10G, 04O, 04K, 04L, 10I",BROOKLYN
1012 KITCHEN,11230.0,-73.961296140502,40.624608586151,"10H, 06C, 10B, 10F",BROOKLYN
102 LIBERTY LLC,11417.0,-73.83842149362,40.681485611611,Missing,QUEENS
1020 BAR,10025.0,-73.963781811583,40.803093425955,"04C, 08A, 04N, 10A",MANHATTAN
104 DYCKMAN CORP,10040.0,-73.924918071796,40.861847700788,Missing,MANHATTAN
104-01 FOSTER AVENUE COFFEE SHOP(UPS),11236.0,-73.900775787977,40.651512194519,"02G, 04A, 06F, 10B, 02B, 08C, 04N, 06D",BROOKLYN
1050 CAFE,11208.0,-73.860487605874,40.663983682971,"10G, 02B, 10B, 06D, 10F, 06F, 04L, 08A, 09C",BROOKLYN
106 NUTRITION BLENDS,10029.0,-73.945553643185,40.791942547949,"10B, 06B, 19-06, 06C, 10F, 10G, 20-06, 05D, 05H",MANHATTAN
107 DAILY & GRILL,10025.0,-73.965101189285,40.801243874539,Missing,MANHATTAN
107 EV LLC,10003.0,-73.985939974146,40.726711685913,Missing,MANHATTAN
107-22 CONTINENTAL BB LLC,11375.0,-73.844484396405,40.72062077539,Missing,QUEENS
108 FOOD DRIED HOT POT,10025.0,-73.967636046671,40.802765207183,"08A, 10B, 02G, 10F, 04N, 08C, 04J, 06C, 06D",MANHATTAN
1080 KAFE CORP,11385.0,-73.9003045852,40.696559082925,Missing,QUEENS
109 PIZZERIA,10029.0,-73.943468732239,40.793231573165,"10B, 10D, 02B, 04K, 06C, 05D, 10F, 08A",MANHATTAN
10TH AVENUE COOKSHOP,10011.0,-74.005637163453,40.745645791526,"06C, 06B, 02B, 10F",MANHATTAN
10TH AVENUE PIZZA & CAFE,10001.0,-74.003334819511,40.748818825881,"08A, 10E, 04A, 04N, 05F, 04L, 06D, 02G, 10F, 10G, 02B, 10B",MANHATTAN
10TH FL CATERING,10019.0,-73.982266967297,40.767808491195,10F,MANHATTAN
10TH FL FOOD HALL ( DEUTSCHE BANK CAFE),10019.0,-73.982266967297,40.767808491195,"10B, 10F, 02G, 04C",MANHATTAN
10TH FLOOR CAFE,10013.0,-74.007493567152,40.726160604859,"20-04, 10G, 06F, 10F, 06D, 10E",MANHATTAN
10TH FLOOR LOUNGE,11201.0,-73.995527884559,40.70157861295,"10F, 10B, 04N, 08A, 09B, 04H, 06D, 04L, 02G",BROOKLYN
11 HOWARD KITCHEN,10013.0,-73.999953102562,40.719076605989,"10F, Missing, 10B, 02G, 06D",MANHATTAN
11 PARISHES RESTAURANT,11226.0,-73.957922697914,40.644251806857,Missing,BROOKLYN
11 STREET CAFE,10014.0,-74.007476594239,40.735630046012,"10B, 02G, 06D, 08B, 10F, 04L, 10H, 08A, 09C",MANHATTAN
11 W 42ND BB LLC,10036.0,-73.981599370417,40.753782670905,Missing,MANHATTAN
110 Nutrition,10029.0,-73.940702500434,40.793007853065,"10E, 10B, 06C, 05H, 20-04, Missing, 10I, 10F",MANHATTAN
11:11 CAFE,11211.0,-73.9493873812,40.718365522259,"02G, 10B",BROOKLYN
11:11 RESTAURANT LOUNGE,10034.0,-73.91678036952,40.867386450877,"06F, 04H, Missing, 10B, 08C, 05D",MANHATTAN
11TH FL CLIENT DINING,10019.0,-73.982266967297,40.767808491195,10F,MANHATTAN
11TH ST BAR,10009.0,-73.981281738153,40.728215152107,"04N, 04K, 04M, 04L, 18-11, 08C, 05D, 08A",MANHATTAN
11TIGERS,10009.0,-73.978286830292,40.729054522613,"04H, 06A, 10H, 06D",MANHATTAN
12,10012.0,-73.992683242876,40.725943779738,Missing,MANHATTAN
12 CHAIRS CAFE,11249.0,-73.965049379168,40.714514964868,"04M, 02B, 02G, 06D, 10F, 04L, 10H, 08A, 02H, 06C",BROOKLYN
12 CHAIRS CATERING,10012.0,-74.001818418534,40.727873569254,"06C, 08B, 10F, 06F, 05H, 02B",MANHATTAN
12 CORAZONES RESTAURANT & BAR,11372.0,-73.879558020348,40.748077703935,"02G, 06E, 02B, 10F, 05H, 06A, 06F, 08A, 10G, 10E, 04M, 28-06, 06C, 04H, 05F, 04L, 05D, 06D, 10B, 04A, 09E",QUEENS
12.6 LOUNGE,11422.0,-73.74027105185,40.636013434876,"06C, 06D, 04A, 02G, 15-01, 16-02, 20-04, 10F, 28-06, 15-21, 10B",QUEENS
120 BAY CAFE/CARGO,10301.0,-74.075648310405,40.639156709708,"04L, 10B, 08A, 06C, 04N, Missing, 06D",STATEN ISLAND
120 ORCHARD BAR LLC,10002.0,-73.989541813883,40.719441183278,Missing,MANHATTAN
123 Burger Shot Beer,10027.0,-73.960778356188,40.818397139473,"09B, 04A, 06D",MANHATTAN
