Estimate Households PERCENT ALLOCATED Nonfamily income in the past 12 months,Estimate Households PERCENT ALLOCATED Family income in the past 12 months,Estimate Households PERCENT ALLOCATED Household income in the past 12 months,Estimate Households Mean income (dollars),Estimate Households Median income (dollars),"Estimate Households Total $200,000 or more","Estimate Households Total $150,000 to $199,999","Estimate Households Total $100,000 to $149,999","Estimate Households Total $75,000 to $99,999","Estimate Households Total $50,000 to $74,999","Estimate Households Total $35,000 to $49,999","Estimate Households Total $25,000 to $34,999","Estimate Households Total $15,000 to $24,999","Estimate Households Total $10,000 to $14,999","Estimate Households Total Less than $10,000",Estimate Households Total,GEO_ID,ZIP
-888888888,-888888888,30.0,243020,169285,42.7,11.9,14.5,5.6,6.4,4.7,3.4,3.3,2.2,5.4,33141,860Z200US11201,11201
-888888888,-888888888,58.1,88652,68028,9.3,7.3,15.4,13.8,14.7,11.6,8.3,6.7,5.6,7.3,30149,860Z200US11203,11203
-888888888,-888888888,51.7,88033,67588,6.3,9.2,15.5,15.1,18.1,9.7,8.2,8.0,5.1,4.8,25306,860Z200US11204,11204
-888888888,-888888888,45.8,142490,86753,22.4,10.1,14.4,8.6,13.6,6.6,5.5,7.0,4.6,7.3,17272,860Z200US11205,11205
-888888888,-888888888,44.4,88480,57280,10.2,7.5,14.9,8.8,12.4,10.4,7.9,10.2,7.2,10.6,33696,860Z200US11206,11206
-888888888,-888888888,61.7,74315,55419,6.5,6.9,12.7,10.6,17.2,9.2,7.8,8.4,7.0,13.7,35309,860Z200US11207,11207
-888888888,-888888888,81.7,80641,59988,6.1,6.8,15.1,12.2,17.4,11.3,8.5,7.2,4.7,10.6,34486,860Z200US11208,11208
-888888888,-888888888,41.5,125801,92656,17.4,10.5,19.3,12.3,12.9,7.9,7.0,4.7,3.4,4.7,30376,860Z200US11209,11209
-888888888,-888888888,56.5,116476,83261,12.9,9.2,20.4,11.9,16.7,9.1,6.6,4.6,3.3,5.4,21440,860Z200US11210,11210
-888888888,-888888888,42.1,155194,105183,28.1,10.8,12.4,8.4,9.8,8.3,4.4,7.0,5.1,5.6,27497,860Z200US11211,11211
-888888888,-888888888,64.3,58158,40060,3.4,4.9,8.2,9.2,15.7,12.6,9.2,10.7,11.0,15.0,32588,860Z200US11212,11212
-888888888,-888888888,52.3,91348,62040,9.2,8.0,15.7,12.0,12.6,11.3,7.0,9.5,7.4,7.3,27060,860Z200US11213,11213
-888888888,-888888888,54.1,95206,64286,10.2,8.6,14.3,11.3,17.1,10.8,6.4,8.5,7.4,5.3,31006,860Z200US11214,11214
-888888888,-888888888,29.9,246090,180773,44.5,13.4,15.0,7.0,7.9,2.9,2.3,2.7,1.0,3.3,29747,860Z200US11215,11215
-888888888,-888888888,46.7,130791,95000,19.4,11.0,17.5,12.6,12.5,6.2,4.3,6.0,4.1,6.5,26664,860Z200US11216,11216
-888888888,-888888888,33.7,235997,158314,40.5,10.9,12.8,6.4,7.7,5.3,3.8,3.5,4.0,5.0,19543,860Z200US11217,11217
-888888888,-888888888,44.1,150487,95916,20.2,10.6,17.2,11.3,15.1,7.1,7.1,3.8,3.8,3.8,26053,860Z200US11218,11218
-888888888,-888888888,56.7,84493,55685,6.9,7.2,11.7,12.0,16.5,13.3,11.0,9.1,7.0,5.3,24476,860Z200US11219,11219
-888888888,-888888888,49.1,88838,64201,8.5,7.4,13.7,13.4,16.4,12.6,8.3,8.6,5.7,5.5,28336,860Z200US11220,11220
-888888888,-888888888,56.9,112905,85122,13.2,10.4,18.8,12.7,11.7,7.2,6.3,6.1,5.8,7.7,36032,860Z200US11221,11221
-888888888,-888888888,35.8,159569,123963,26.6,14.4,19.5,8.6,11.3,5.9,4.2,3.9,2.8,2.8,20277,860Z200US11222,11222
-888888888,-888888888,58.8,96022,63950,9.7,8.7,15.6,11.4,12.7,10.6,8.4,8.6,6.3,8.0,26433,860Z200US11223,11223
-888888888,-888888888,51.8,68938,41449,6.7,5.3,9.8,8.5,13.9,10.7,7.5,13.1,16.1,8.4,19991,860Z200US11224,11224
-888888888,-888888888,48.5,111100,85201,13.2,8.7,19.3,13.5,15.1,8.0,5.3,8.3,3.9,4.6,24747,860Z200US11225,11225
-888888888,-888888888,52.1,108093,81084,12.5,9.6,18.8,12.7,13.6,11.7,5.0,6.8,4.4,5.1,39305,860Z200US11226,11226
-888888888,-888888888,50.5,116610,80737,16.5,10.7,15.3,10.9,13.2,11.0,6.3,8.4,3.6,4.1,15105,860Z200US11228,11228
-888888888,-888888888,51.2,106957,72556,13.8,8.1,15.9,10.9,14.1,10.1,7.3,7.6,6.3,5.8,30924,860Z200US11229,11229
-888888888,-888888888,48.3,98968,69522,11.8,6.5,15.4,12.6,14.1,9.3,8.6,8.3,7.2,6.2,31802,860Z200US11230,11230
-888888888,-888888888,35.2,219505,138485,35.8,11.3,13.1,6.6,6.9,6.8,3.0,4.8,3.8,7.9,16810,860Z200US11231,11231
-888888888,-888888888,46.5,120897,87517,18.2,10.9,13.7,13.0,10.7,10.6,11.5,6.5,1.2,3.6,9336,860Z200US11232,11232
-888888888,-888888888,62.3,86547,62034,8.2,7.9,15.2,12.3,14.1,10.6,6.4,8.7,6.3,10.2,32784,860Z200US11233,11233
-888888888,-888888888,58.3,126358,94434,17.5,10.5,18.1,13.0,12.1,8.0,5.8,7.4,2.6,4.8,32178,860Z200US11234,11234
-888888888,-888888888,52.5,96127,61689,11.9,8.4,12.9,10.2,14.4,10.3,7.5,9.6,7.6,7.2,35333,860Z200US11235,11235
-888888888,-888888888,64.1,105299,82813,11.5,9.5,19.2,13.4,14.2,8.8,5.7,7.3,3.2,7.3,33318,860Z200US11236,11236
-888888888,-888888888,48.3,99019,82570,10.5,10.8,16.8,15.9,15.4,7.7,4.9,9.6,2.9,5.7,17723,860Z200US11237,11237
-888888888,-888888888,37.7,180373,132957,31.2,13.3,17.0,8.2,8.2,6.2,3.4,4.2,3.4,4.9,27371,860Z200US11238,11238
-888888888,-888888888,44.5,59115,35675,2.7,4.9,8.9,7.2,14.1,13.2,8.0,17.7,15.8,7.6,8320,860Z200US11239,11239
-888888888,-888888888,40.0,195247,121400,32.2,10.1,15.6,6.5,9.5,8.0,6.0,4.8,3.4,3.9,17621,860Z200US11249,11249
